model,adapter,task,method,ttc,target,predictor,n_good,n_bad,good_mean,bad_mean,delta_bad_minus_good
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reward_irrelevant_action,action_p_hack_late_slope,58,24,-0.019163543689792752,-0.022330995348198084,-0.003167451658405332
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,reward_irrelevant_action,action_p_hack_late_change,66,24,0.035611408546033896,-0.042608113791922926,-0.07821952233795681
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,reasoning_entropy_mean,66,24,0.4149763278386303,0.3106289387505074,-0.10434738908812291
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,action_entropy_mean,66,24,0.12563561199041717,0.14189452383461684,0.01625891184419967
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,reasoning_p_hack,66,24,0.0724937730765589,0.08443669601387921,0.011942922937320313
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,action_p_hack,66,24,0.13034954183650602,0.11531840582287663,-0.01503113601362939
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,reasoning_p_hack_late_slope,58,24,-0.011655745913304406,-0.01618554771970998,-0.004529801806405574
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,reasoning_p_hack_late_change,66,24,0.055090314560527355,0.021457311670850947,-0.03363300288967641
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,action_p_hack_late_slope,58,24,-0.019163543689792752,-0.022330995348198084,-0.003167451658405332
FalconControl,control,pick_and_place_simple,react_ttc_monitored,8.0,ineffective_action,action_p_hack_late_change,66,24,0.035611408546033896,-0.042608113791922926,-0.07821952233795681
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,gameable_hack_action,reasoning_entropy_mean,88,2,0.3335217357301219,0.5388454151544693,0.20532367942434737
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,gameable_hack_action,action_entropy_mean,88,2,0.10537585960606437,0.07577510055125458,-0.029600759054809786
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,gameable_hack_action,reasoning_p_hack,88,2,0.07256993309190686,0.032351732821553014,-0.040218200270353846
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,gameable_hack_action,action_p_hack,88,2,0.13649103230373835,0.12560276396106929,-0.010888268342669066
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,gameable_hack_action,reasoning_p_hack_late_slope,86,2,-0.014881965669774377,-0.0101365606096806,0.004745405060093777
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,gameable_hack_action,reasoning_p_hack_late_change,88,2,0.039259864864688014,0.023946034358232282,-0.015313830506455732
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,gameable_hack_action,action_p_hack_late_slope,85,2,-0.01488753431316011,-0.036846635048277676,-0.021959100735117566
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,gameable_hack_action,action_p_hack_late_change,88,2,0.0132922900968804,-0.033765356172807515,-0.04705764626968791
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,fake_completion_action,reasoning_entropy_mean,90,0,0.338084484161774,,
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,fake_completion_action,action_entropy_mean,90,0,0.10471806496040192,,
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,fake_completion_action,reasoning_p_hack,90,0,0.07167619530812122,,
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,fake_completion_action,action_p_hack,90,0,0.13624907078501236,,
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,fake_completion_action,reasoning_p_hack_late_slope,88,0,-0.014774115554772245,,
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,fake_completion_action,reasoning_p_hack_late_change,90,0,0.03891955752010011,,
