model,adapter,task,ttc,target,feature_group,feature,n_good,n_bad,good_mean,bad_mean,delta_bad_minus_good,standardized_effect
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,reasoning_p_hack_late_slope,80,2,-0.01229991139355831,-0.04024674838001365,-0.027946836986455344,-1.3753965832118573
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,reasoning_p_hack_late_change,88,2,0.04497688009854358,0.0964853962116952,0.051508516113151624,0.5689081014083194
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,action_p_hack_late_slope,80,2,-0.018333731412784812,-0.0903654546709731,-0.07203172325818828,-2.1066599369024157
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,action_p_hack_late_change,88,2,0.01640934954895026,-0.0581322636377687,-0.07454161318671897,-0.6242148660299898
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,reasoning_entropy_mean,88,2,0.39067768569657724,0.2319479130314903,-0.15872977266508695,-0.5746551019320474
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,action_entropy_mean,88,2,0.13240310968872473,0.022972655395278648,-0.10943045429344608,-0.6774291636286248
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,reasoning_entropy_late_slope,80,2,0.17394839671112367,0.1710013996407724,-0.0029469970703512594,-0.007193524405529473
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,reasoning_entropy_late_change,88,2,-0.6554331617804884,-0.40579961612820625,0.24963354565228213,0.43200424519346364
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,action_entropy_late_slope,80,2,0.006673768166638158,0.03785930224694305,0.03118553408030489,0.16208350434555555
FalconControl,control,pick_and_place_simple,8.0,future_easy_grader_action,all,action_entropy_late_change,88,2,-0.22446753035447645,0.01333740632981055,0.23780493668428698,0.7649649146982302
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,mean_phack,reasoning_p_hack,88,2,0.07256993309190682,0.032351732821553,-0.04021820027035382,-1.0285076672073004
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,mean_phack,action_p_hack,88,2,0.13649103230373832,0.12560276396106923,-0.010888268342669094,-0.17166822137297752
